id,source_file,question,type,answer,raw,option_A,option_B,option_C,option_D,option_E,option_F,option_G,option_H
1,学生手册答案.docx,1、[1分] 按学校规定，为逃避缴纳学费、住宿费或者获得各项资助，提供虚假信息的，给予（ ）以上处分。,单选,A,"1、[1分]
按学校规定，为逃避缴纳学费、住宿费或者获得各项资助，提供虚假信息的，给予（ ）以上处分。
A. 记过
B. 开除学籍
C. 留校察看
D. 警告
正确答案：A",A. 记过,B. 开除学籍,C. 留校察看,D. 警告 正确答案：A,,,,
2,学生手册答案.docx,2、[1分] 按学校规定，以盗窃、骗取、勒索、冒领等手段非法占有国家、本校或者他人财物的，所涉及价值（ ）元以上的，给予留校察看以上处分。,单选,A,"2、[1分]
按学校规定，以盗窃、骗取、勒索、冒领等手段非法占有国家、本校或者他人财物的，所涉及价值（ ）元以上的，给予留校察看以上处分。
A. 1000
B. 5000
C. 2000
D. 500
正确答案：A",A. 1000,B. 5000,C. 2000,D. 500 正确答案：A,,,,
3,学生手册答案.docx,3、[1分] 按学校规定，在学生宿舍私拉电线或安装大功率用电设备，经批评教育不改的，给予（ ）以上处分。,单选,D,"3、[1分]
按学校规定，在学生宿舍私拉电线或安装大功率用电设备，经批评教育不改的，给予（ ）以上处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：D",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：D,,,,
4,学生手册答案.docx,4、[1分] 按学校规定，代替他人或由他人代替参加考试的，考试正式开始前，能主动离开考场的，替考者可免予处分，被替考者给予（ ）处分。,单选,D,"4、[1分]
按学校规定，代替他人或由他人代替参加考试的，考试正式开始前，能主动离开考场的，替考者可免予处分，被替考者给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：D",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：D,,,,
5,学生手册答案.docx,5、[1分] 按学校规定，可以从轻处分的情况有（ ）①在被学校有关部门或有关国家机关调查问话或者未掌握其违法违纪行为之前，能够主动如实坦白其违法违纪事实，主动退还赃物，或积极赔偿损失，并有悔改表现者；②违纪行为尚在准备阶段或者虽然进入实施阶段但主动放弃且未造成危害结果的，但法律法规、规章、校纪校规另有规定的除外；③受他人威胁或者欺骗的。,单选,B,"5、[1分]
按学校规定，可以从轻处分的情况有（ ）①在被学校有关部门或有关国家机关调查问话或者未掌握其违法违纪行为之前，能够主动如实坦白其违法违纪事实，主动退还赃物，或积极赔偿损失，并有悔改表现者；②违纪行为尚在准备阶段或者虽然进入实施阶段但主动放弃且未造成危害结果的，但法律法规、规章、校纪校规另有规定的除外；③受他人威胁或者欺骗的。
A. ①③
B. ①②③
C. ②③
D. ①②
正确答案：B",A. ①③,B. ①②③,C. ②③,D. ①② 正确答案：B,,,,
6,学生手册答案.docx,6、[1分] 按学校规定，交卷后有意在考场内逗留，并向他人泄露试题答案的，给予（ ）处分。,单选,A,"6、[1分]
按学校规定，交卷后有意在考场内逗留，并向他人泄露试题答案的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：A",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：A,,,,
7,学生手册答案.docx,7、[1分] 按学校规定，为赌博提供条件或者参与赌博的，视情节轻重给予（ ）以上处分。,单选,A,"7、[1分]
按学校规定，为赌博提供条件或者参与赌博的，视情节轻重给予（ ）以上处分。
A. 记过
B. 开除学籍
C. 留校察看
D. 严重警告
正确答案：A",A. 记过,B. 开除学籍,C. 留校察看,D. 严重警告 正确答案：A,,,,
8,学生手册答案.docx,8、[1分] 按学校规定，在考试过程中旁窥、交头接耳、互打暗号或者手势的，给予（ ）处分。,单选,A,"8、[1分]
按学校规定，在考试过程中旁窥、交头接耳、互打暗号或者手势的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：A",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：A,,,,
9,学生手册答案.docx,9、[1分] 按学校规定，学生对学校学生申诉处理委员复查决定有异议的，在接到学校复查决定书之日起（ ）内，可以向广东省教育行政部门提出书面申诉。,单选,C,"9、[1分]
按学校规定，学生对学校学生申诉处理委员复查决定有异议的，在接到学校复查决定书之日起（ ）内，可以向广东省教育行政部门提出书面申诉。
A. 10日
B. 30日
C. 15日
D. 一周
正确答案：C",A. 10日,B. 30日,C. 15日,D. 一周 正确答案：C,,,,
10,学生手册答案.docx,10、[1分] 按学校规定，学生因退学没有修完教学计划规定的课程，但在校学习（ ）或以上，发给肄业证书；否则仅发给学习成绩证明。,单选,A,"10、[1分]
按学校规定，学生因退学没有修完教学计划规定的课程，但在校学习（ ）或以上，发给肄业证书；否则仅发给学习成绩证明。
A. 一年
B. 6个月
C. 两年
D. 一学期
正确答案：A",A. 一年,B. 6个月,C. 两年,D. 一学期 正确答案：A,,,,
11,学生手册答案.docx,11、[1分] 按学校规定，一学期内无故旷课累计学时达到30—39学时者，给予（ ）处分。,单选,A,"11、[1分]
按学校规定，一学期内无故旷课累计学时达到30—39学时者，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：A",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：A,,,,
12,学生手册答案.docx,12、[1分] 按学校规定，违反校园交通管理规定，造成不良影响，经批评教育无效的，给予（ ）以上、（ ）以下处分。,单选,B,"12、[1分]
按学校规定，违反校园交通管理规定，造成不良影响，经批评教育无效的，给予（ ）以上、（ ）以下处分。
A. 警告；记过
B. 警告；留校察看
C. 记过；留校察看
D. 警告；严重警告
正确答案：B",A. 警告；记过,B. 警告；留校察看,C. 记过；留校察看,D. 警告；严重警告 正确答案：B,,,,
13,学生手册答案.docx,13、[1分] 按学校规定，被开除学籍的学生在离校时由学校发给（ ）。,单选,D,"13、[1分]
按学校规定，被开除学籍的学生在离校时由学校发给（ ）。
A. 结业证书
B. 结业证书和学位证书
C. 毕业证书
D. 学习证明
正确答案：D",A. 结业证书,B. 结业证书和学位证书,C. 毕业证书,D. 学习证明 正确答案：D,,,,
